variable,correlation_with_isFraud
ProductCD_W,-0.4700323561336364
R_emaildomain_,-0.4595082751956267
V29,-0.3612719468205887
V30,-0.3494692833443652
card6_debit,-0.3152169484829395
P_emaildomain_,-0.10369764680382795
P_emaildomain_yahoo.com,-0.09570565644622099
P_emaildomain_sbcglobal.net,-0.04235395586941356
card4_mastercard,-0.040243309993497546
card1,-0.0375417557829135
P_emaildomain_aol.com,-0.037235146484402536
P_emaildomain_verizon.net,-0.03539321347194991
P_emaildomain_att.net,-0.03361289566121156
P_emaildomain_rocketmail.com,-0.025319133393963588
P_emaildomain_yahoo.com.mx,-0.022787523888538646
R_emaildomain_yahoo.com.mx,-0.022787523888538646
P_emaildomain_charter.net,-0.021165579374859644
R_emaildomain_web.de,-0.018408818147631446
P_emaildomain_web.de,-0.018408818147631446
P_emaildomain_roadrunner.com,-0.017441916566407895
P_emaildomain_netzero.com,-0.015557537827401819
R_emaildomain_verizon.net,-0.015557537827401791
P_emaildomain_anonymous.com,-0.013858049300088812
R_emaildomain_prodigy.net.mx,-0.013350338834045218
P_emaildomain_prodigy.net.mx,-0.013350338834045218
P_emaildomain_ymail.com,-0.013344545672342903
P_emaildomain_windstream.net,-0.013015897470772924
P_emaildomain_q.com,-0.012050233676380258
P_emaildomain_optonline.net,-0.01113746054651315
P_emaildomain_hotmail.fr,-0.01100017490417138
R_emaildomain_hotmail.fr,-0.01100017490417138
P_emaildomain_gmx.de,-0.01100017490417137
R_emaildomain_gmx.de,-0.01100017490417137
R_emaildomain_servicios-ta.com,-0.009838736488268713
P_emaildomain_servicios-ta.com,-0.009838736488268713
P_emaildomain_centurylink.net,-0.00983873648826871
R_emaildomain_att.net,-0.008520492641860809
P_emaildomain_twc.com,-0.008520492641860807
P_emaildomain_ptd.net,-0.00852049264186078
P_emaildomain_cfl.rr.com,-0.008520492641860776
P_emaildomain_msn.com,-0.007960446394996254
P_emaildomain_gmail,-0.007187458763477373
P_emaildomain_juno.com,-0.006958216119787512
P_emaildomain_live.fr,-0.006956868933691702
R_emaildomain_live.fr,-0.006956868933691702
R_emaildomain_yahoo.de,-0.0069568689336917
P_emaildomain_yahoo.de,-0.0069568689336917
R_emaildomain_yahoo.co.uk,-0.006956868933691699
P_emaildomain_yahoo.co.uk,-0.006956868933691699
P_emaildomain_hotmail.co.uk,-0.0069568689336916905
R_emaildomain_msn.com,-0.006600104942502835
P_emaildomain_me.com,-0.006153679533394472
P_emaildomain_suddenlink.net,-0.0056809471064659944
R_emaildomain_yahoo.fr,-0.0052596623278946195
P_emaildomain_yahoo.fr,-0.0052596623278946195
P_emaildomain_netzero.net,-0.004919368244134321
R_emaildomain_gmail,-0.004919189679432788
R_emaildomain_embarqmail.com,-0.004919189679432783
card6_charge card,-0.004919189679432781
R_emaildomain_hotmail.co.uk,-0.00491918967943278
R_emaildomain_scranton.edu,-0.004919189679432776
card6_debit or credit,-0.004919189679432775
P_emaildomain_hotmail.de,-0.0049191896794327705
R_emaildomain_hotmail.de,-0.0049191896794327705
P_emaildomain_cableone.net,-0.0034786870183872165
P_emaildomain_earthlink.net,-0.0029523712450538297
P_emaildomain_icloud.com,-0.0029440854893187326
R_emaildomain_suddenlink.net,-0.002840164213953612
P_emaildomain_bellsouth.net,-0.0023376574013426066
P_emaildomain_yahoo.es,-0.00220003498083426
P_emaildomain_live.com,-0.001873899100226186
P_emaildomain_sc.rr.com,-2.0551865729310815e-17
R_emaildomain_mac.com,-1.4015640447261013e-17
